종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","57800","1000","1.76","342155071891600"
"000660","SK하이닉스","217500","10000","4.82","158340514387500"
"207940","삼성바이오로직스","1034000","3000","0.29","73593916000000"
"373220","LG에너지솔루션","288500","4000","1.41","67509000000000"
"105560","KB금융","107900","7900","7.90","42461716841700"
"012450","한화에어로스페이스","845000","10000","1.20","39965289845000"
"329180","HD현대중공업","428000","0","0.00","37994893648000"
"005380","현대차","186000","2000","1.09","38084944476000"
"068270","셀트리온","160500","-500","-0.31","35699366259000"
"000270","기아","89600","1200","1.36","35631467827200"
"055550","신한지주","59900","4100","7.35","29700939693500"
"035420","NAVER","185500","-1000","-0.54","29390064984000"
"034020","두산에너빌리티","42650","1700","4.15","27319932876900"
"028260","삼성물산","157800","6500","4.30","26822298643200"
"042660","한화오션","76800","-1000","-1.29","23532548659200"
"009540","HD한국조선해양","327500","15000","4.80","23178195490000"
"012330","현대모비스","250000","3500","1.42","23248773500000"
"011200","HMM","22550","250","1.12","23114640634800"
"032830","삼성생명","108800","8900","8.91","21760000000000"
"086790","하나금융지주","74500","4500","6.43","21211929730500"
"138040","메리츠금융지주","113900","2600","2.34","20503648474700"
"005490","POSCO홀딩스","245500","1500","0.61","19869039716000"
"000810","삼성화재","425500","37500","9.66","19577746452500"
"015760","한국전력","29650","-450","-1.50","19034234883050"
"035720","카카오","41600","-1550","-3.59","18375189872000"
"259960","크래프톤","367500","-500","-0.14","17610379132500"
"064350","현대로템","156100","4100","2.70","17037111937300"
"402340","SK스퀘어","124700","14400","13.06","16527844992600"
"010130","고려아연","770000","40000","5.48","15941527910000"
"033780","KT&G","124400","3800","3.15","15184574626800"
"316140","우리금융지주","20300","1410","7.46","15074607470300"
"010140","삼성중공업","16880","90","0.54","14854400000000"
"051910","LG화학","198700","3400","1.74","14026698554100"
"267260","HD현대일렉트릭","382000","4000","1.06","13770005570000"
"096770","SK이노베이션","90900","3200","3.65","13729061138400"
"034730","SK","180700","17300","10.59","13101238432100"
"024110","기업은행","15800","370","2.40","12599328730200"
"030200","KT","49850","450","0.91","12563280997250"
"352820","하이브","281000","9000","3.31","11704239257000"
"006400","삼성SDI","172400","-400","-0.23","11855004972000"
"066570","LG전자","71300","500","0.71","11668089138200"
"003550","LG","74000","3200","4.52","11636586210000"
"017670","SK텔레콤","52500","800","1.55","11276477782500"
"323410","카카오뱅크","23700","-350","-1.46","11304649656900"
"018260","삼성에스디에스","132800","100","0.08","10275771840000"
"180640","한진칼","152500","11200","7.93","10181247547500"
"079550","LIG넥스원","452000","4500","1.01","9944000000000"
"006800","미래에셋증권","17690","2070","13.25","10088897257520"
"267250","HD현대","120300","7400","6.55","9502868125500"
"003670","포스코퓨처엠","117000","500","0.43","9063196740000"
"009150","삼성전기","121700","900","0.75","9090222803200"
"047050","포스코인터내셔널","49650","1250","2.58","8734566424200"
"047810","한국항공우주","87200","3400","4.06","8499829330400"
"086280","현대글로비스","113200","1600","1.43","8490000000000"
"003490","대한항공","22800","150","0.66","8395431070800"
"000100","유한양행","103000","-1000","-0.96","8261533592000"
"042700","한미반도체","82800","2800","3.50","7999660645200"
"090430","아모레퍼시픽","134100","-200","-0.15","7843878981900"
"000720","현대건설","68800","3100","4.72","7661276632000"
"010120","LS ELECTRIC","256500","8500","3.43","7695000000000"
"005830","DB손해보험","103700","5400","5.49","7341960000000"
"326030","SK바이오팜","89700","-1400","-1.54","7024698525000"
"021240","코웨이","91100","0","0.00","6550922016300"
"071050","한국금융지주","113700","8800","8.39","6336045290400"
"010950","S-Oil","55800","800","1.45","6282119793600"
"005940","NH투자증권","17920","710","4.13","5868661998080"
"032640","LG유플러스","13160","280","2.17","5745805510760"
"016360","삼성증권","62000","2800","4.73","5536600000000"
"009830","한화솔루션","31600","1700","5.69","5431804137600"
"029780","삼성카드","44150","1350","3.15","5115170037650"
"051900","LG생활건강","330000","7500","2.33","5154005010000"
"377300","카카오페이","37300","-850","-2.23","5024067661900"
"161390","한국타이어앤테크놀로지","38550","450","1.18","4775383909950"
"241560","두산밥캣","47600","400","0.85","4562748694000"
"251270","넷마블","54700","-400","-0.73","4701656559400"
"271560","오리온","111700","900","0.81","4416185944400"
"028050","삼성E&A","21850","400","1.86","4282600000000"
"034220","LG디스플레이","8420","110","1.32","4210000000000"
"078930","GS","45050","1700","3.92","4185837778900"
"036460","한국가스공사","40600","700","1.75","3747907800000"
"035250","강원랜드","17220","100","0.58","3684055410000"
"004020","현대제철","27650","200","0.73","3689775955250"
"128940","한미약품","299000","-5500","-1.81","3830486309000"
"302440","SK바이오사이언스","46150","550","1.21","3616736041750"
"036570","엔씨소프트","166500","0","0.00","3587079663000"
"097950","CJ제일제당","236500","6000","2.60","3560314989000"
"011790","SKC","90300","1900","2.15","3419507309400"
"011070","LG이노텍","143900","1600","1.12","3405696697300"
"022100","포스코DX","21800","350","1.63","3314357092200"
"454910","두산로보틱스","49750","2300","4.85","3224794005000"
"004990","롯데지주","31450","1650","5.54","3299395503650"
"011780","금호석유화학","117000","3000","2.63","3095771679000"
"450080","에코프로머티","44200","150","0.34","3091013140800"
"383220","F&F","75100","400","0.54","2876861332500"
"011170","롯데케미칼","60200","1000","1.69","2575080223800"
"018880","한온시스템","3080","95","3.18","2090588660160"
"002790","아모레퍼시픽홀딩스","27250","350","1.30","2165235405000"
"066970","엘앤에프","56000","2500","4.67","2033705744000"
"361610","SK아이이테크놀로지","21650","650","3.10","1543592866800"
"005070","코스모신소재","35050","1850","5.57","1139501997800"
